03-09 19:42:00.504 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059720501, 1489059720512, 1489059720518
03-09 19:42:00.584 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2701, 1489059720602
03-09 19:42:00.584 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2701, 1489059720603
03-09 19:42:00.614 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059720603, 1489059720614, 1489059720623
03-09 19:42:00.694 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2801, 1489059720704
03-09 19:42:00.694 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2801, 1489059720705
03-09 19:42:00.704 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059720705, 1489059720716, 1489059720716
03-09 19:42:00.784 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2901, 1489059720801
03-09 19:42:00.784 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2901, 1489059720802
03-09 19:42:00.804 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059720802, 1489059720813, 1489059720820
03-09 19:42:00.884 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2994, 1489059720897
03-09 19:42:00.884 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2994, 1489059720897
03-09 19:42:00.894 4157-5987/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489059720897, 1489059720909, 1489059720912
03-09 19:42:00.944 4157-5988/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 3061, 1489059720955
03-09 19:42:00.944 4157-6037/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 3061, 1489059720956
