03-09 20:24:01.484 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1649, 1489062241497
03-09 20:24:01.504 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062241497, 1489062241510, 1489062241515
03-09 20:24:01.504 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1688, 1489062241517
03-09 20:24:01.504 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1688, 1489062241518
03-09 20:24:01.524 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062241518, 1489062241531, 1489062241536
03-09 20:24:01.534 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1728, 1489062241545
03-09 20:24:01.534 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1728, 1489062241546
03-09 20:24:01.564 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062241546, 1489062241559, 1489062241568
03-09 20:24:01.574 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1748, 1489062241590
03-09 20:24:01.584 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1748, 1489062241592
03-09 20:24:01.594 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062241592, 1489062241605, 1489062241610
03-09 20:24:01.604 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1788, 1489062241615
03-09 20:24:01.604 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1788, 1489062241615
03-09 20:24:01.624 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062241615, 1489062241627, 1489062241632
03-09 20:24:01.624 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1828, 1489062241638
03-09 20:24:01.624 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1828, 1489062241639
03-09 20:24:01.644 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062241639, 1489062241651, 1489062241655
03-09 20:24:01.654 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1866, 1489062241663
03-09 20:24:01.654 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1866, 1489062241663
03-09 20:24:01.664 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062241663, 1489062241677, 1489062241677
03-09 20:24:01.674 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1887, 1489062241685
03-09 20:24:01.674 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1887, 1489062241685
03-09 20:24:01.684 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062241685, 1489062241697, 1489062241699
03-09 20:24:01.714 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1926, 1489062241727
03-09 20:24:01.714 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1926, 1489062241727
03-09 20:24:01.724 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062241727, 1489062241739, 1489062241741
03-09 20:24:01.734 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1946, 1489062241745
03-09 20:24:01.734 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1946, 1489062241745
03-09 20:24:01.754 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062241745, 1489062241757, 1489062241762
03-09 20:24:01.774 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 1986, 1489062241786
03-09 20:24:01.774 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 1986, 1489062241787
03-09 20:24:01.794 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062241787, 1489062241799, 1489062241805
03-09 20:24:01.814 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2027, 1489062241822
03-09 20:24:01.814 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2027, 1489062241822
03-09 20:24:01.824 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062241822, 1489062241834, 1489062241837
03-09 20:24:01.824 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2047, 1489062241841
03-09 20:24:01.834 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2047, 1489062241842
03-09 20:24:01.844 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062241842, 1489062241854, 1489062241859
03-09 20:24:01.874 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2087, 1489062241885
03-09 20:24:01.874 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2087, 1489062241886
03-09 20:24:01.884 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062241886, 1489062241898, 1489062241901
03-09 20:24:01.914 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2128, 1489062241927
03-09 20:24:01.914 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2128, 1489062241928
03-09 20:24:01.934 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062241928, 1489062241940, 1489062241944
03-09 20:24:01.954 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2167, 1489062241964
03-09 20:24:01.954 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2167, 1489062241964
03-09 20:24:01.974 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062241964, 1489062241976, 1489062241986
03-09 20:24:01.974 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2187, 1489062241988
03-09 20:24:01.974 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2187, 1489062241989
03-09 20:24:01.994 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062241989, 1489062242001, 1489062242009
03-09 20:24:02.014 18419-18583/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(got), 2226, 1489062242027
03-09 20:24:02.014 18419-18650/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(queue), 2226, 1489062242028
03-09 20:24:02.024 18419-18582/com.haima.me.saas_sdk E/IJKMEDIA: CloudTest>> frame_process(video): 1489062242028, 1489062242040, 1489062242040
